id,city_name,city_id,aqi,pm25,pm10,temperature,timestamp,,
1,"Zagreb-1, Croatia",1,90,90.00,46,26,02/14/23,,
1,"Zagreb-1, Croatia",1,122,122.00,47,26,02/15/23,,
1,"Zagreb-1, Croatia",1,161,161.00,71,35,02/16/23,,
1,"Zagreb-1, Croatia",1,102,102.00,37,13,02/17/23,,
1,"Zagreb-1, Croatia",1,111,111.00,39,8,02/18/23,,
1,"Zagreb-1, Croatia",1,73,73.00,23,11,02/19/23,,
1,"Zagreb-1, Croatia",1,67,67.00,23,17,02/20/23,,
1,"Zagreb-1, Croatia",1,79,79.00,26,11,02/21/23,,
1,"Zagreb-1, Croatia",1,109,109.00,44,25,02/22/23,,
1,"Zagreb-1, Croatia",1,141,141.00,59,29,02/23/23,,
1,"Zagreb-1, Croatia",1,86,86.00,32,12,02/24/23,,
1,"Zagreb-1, Croatia",1,41,41.00,13,8,02/25/23,,
1,"Zagreb-1, Croatia",1,26,26.00,6,10,02/26/23,,
1,"Zagreb-1, Croatia",1,56,56.00,16,12,02/27/23,,
1,"Zagreb-1, Croatia",1,71,71.00,22,11,02/28/23,,
1,"Zagreb-1, Croatia",1,72,72.00,22,11,03/01/23,,
1,"Zagreb-1, Croatia",1,88,88.00,29,17,03/02/23,,
1,"Zagreb-1, Croatia",1,114,114.00,46,15,03/03/23,,
1,"Zagreb-1, Croatia",1,102,102.00,39,16,03/04/23,,
1,"Zagreb-1, Croatia",1,75,75.00,25,16,03/05/23,,
1,"Zagreb-1, Croatia",1,75,75.00,26,18,03/06/23,,
1,"Zagreb-1, Croatia",1,69,69.00,23,11,03/07/23,,
1,"Zagreb-1, Croatia",1,32,32.00,9,7,03/08/23,,
1,"Zagreb-1, Croatia",1,29,29.00,11,9,03/09/23,,
1,"Zagreb-1, Croatia",1,60,60.00,22,21,03/10/23,,
1,"Zagreb-1, Croatia",1,44,44.00,13,14,03/11/23,,
1,"Zagreb-1, Croatia",1,39,39.00,11,12,03/12/23,,
1,"Zagreb-1, Croatia",1,68,68.00,25,17,03/13/23,,
1,"Zagreb-1, Croatia",1,28,28.00,10,13,03/14/23,,
1,"Zagreb-1, Croatia",1,23,23.00,7,11,03/15/23,,
1,"Zagreb-1, Croatia",1,41,41.00,13,18,03/16/23,,
1,"Zagreb-1, Croatia",1,74,74.00,28,25,03/17/23,,
1,"Zagreb-1, Croatia",1,63,63.00,22,22,03/18/23,,
1,"Zagreb-1, Croatia",1,64,64.00,23,14,03/19/23,,
1,"Zagreb-1, Croatia",1,57,57.00,18,10,03/20/23,,
1,"Zagreb-1, Croatia",1,87,87.00,33,19,03/21/23,,
1,"Zagreb-1, Croatia",1,78,78.00,31,25,03/22/23,,
1,"Zagreb-1, Croatia",1,61,61.00,23,20,03/23/23,,
1,"Zagreb-1, Croatia",1,47,47.00,16,8,03/24/23,,
1,"Zagreb-1, Croatia",1,33,33.00,9,11,03/25/23,,
1,"Zagreb-1, Croatia",1,63,63.00,20,17,03/26/23,,
1,"Zagreb-1, Croatia",1,10,10.00,3,9,03/27/23,,
1,"Zagreb-1, Croatia",1,22,22.00,7,14,03/28/23,,
1,"Zagreb-1, Croatia",1,61,61.00,23,24,03/29/23,,
1,"Zagreb-1, Croatia",1,27,27.00,9,5,03/30/23,,
1,"Zagreb-1, Croatia",1,31,31.00,10,6,03/31/23,,
1,"Zagreb-1, Croatia",1,23,23.00,6,9,04/01/23,,
1,"Zagreb-1, Croatia",1,35,35.00,10,13,04/02/23,,
1,"Zagreb-1, Croatia",1,26,26.00,11,5,04/03/23,,
1,"Zagreb-1, Croatia",1,35,35.00,13,9,04/04/23,,
1,"Zagreb-1, Croatia",1,47,47.00,16,16,04/05/23,,
1,"Zagreb-1, Croatia",1,49,49.00,28,17,04/06/23,,
1,"Zagreb-1, Croatia",1,75,75.00,24,9,04/07/23,,
1,"Zagreb-1, Croatia",1,75,75.00,12,4,04/08/23,,
1,"Zagreb-1, Croatia",1,51,51.00,15,11,04/09/23,,
1,"Zagreb-1, Croatia",1,56,56.00,24,14,04/10/23,,
1,"Zagreb-1, Croatia",1,21,21.00,8,7,04/16/23,,
1,"Zagreb-1, Croatia",1,29,29.00,11,8,04/17/23,,
1,"Zagreb-1, Croatia",1,41,41.00,14,16,04/18/23,,
1,"Zagreb-1, Croatia",1,49,49.00,17,17,04/19/23,,
1,"Zagreb-1, Croatia",1,53,53.00,20,16,04/20/23,,
1,"Zagreb-1, Croatia",1,56,56.00,24,19,04/21/23,,
1,"Zagreb-1, Croatia",1,61,61.00,18,13,04/22/23,,
1,"Zagreb-1, Croatia",1,50,50.00,12,19,04/23/23,,
1,"Zagreb-1, Croatia",1,42,42.00,5,10,04/24/23,,
1,"Zagreb-1, Croatia",1,17,17.00,10,13,04/25/23,,
1,"Zagreb-1, Croatia",1,34,34.00,13,17,04/26/23,,
1,"Zagreb-1, Croatia",1,41,41.00,18,18,04/27/23,,
1,"Zagreb-1, Croatia",1,50,50.00,12,11,04/28/23,,
1,"Zagreb-1, Croatia",1,36,36.00,9,9,04/29/23,,
1,"Zagreb-1, Croatia",1,34,34.00,13,10,04/30/23,,
1,"Zagreb-1, Croatia",1,44,44.00,15,14,05/01/23,,
1,"Zagreb-1, Croatia",1,53,53.00,9,8,05/02/23,,
