date, pm25, pm10, no2, so2, co
2024/12/1, 72, 30, 14, , 
2024/12/2, 86, 43, 20, 1, 
2024/12/3, 117, 50, 18, 1, 
2024/12/4, 138, 26, 19, , 
2024/12/5, 73, 34, 16, , 
2024/12/6, 95, , , , 
2024/11/1, 81, 24, 9, 3, 
2024/11/2, 76, 17, 9, 3, 
2024/11/3, 56, 26, 12, 3, 
2024/11/4, 75, 29, 12, 3, 
2024/11/5, 83, 45, 15, 3, 
2024/11/6, 123, 60, 17, 3, 
2024/11/7, 148, 57, 20, 3, 
2024/11/8, 152, 52, 14, 3, 
2024/11/9, 146, 43, 11, 3, 
2024/11/10, 125, 41, 13, 3, 
2024/11/11, 116, 35, 13, 3, 
2024/11/12, 101, 26, 13, 3, 
2024/11/13, 81, 19, 14, 3, 
2024/11/14, 62, 26, 13, 3, 
2024/11/15, 76, 27, 13, 3, 
2024/11/16, 83, 42, 12, 4, 
2024/11/17, 117, 42, 8, 3, 
2024/11/18, 115, 56, 7, 3, 
2024/11/19, 146, 26, , , 
2024/11/20, 77, 22, , , 
2024/11/21, 67, 11, , , 
2024/11/22, 44, 20, , , 
2024/11/23, 69, 16, , , 
2024/11/24, 54, 12, 13, 1, 
2024/11/25, 44, 17, 15, , 
2024/11/26, 49, 15, 20, , 
2024/11/27, 56, 24, 15, , 
2024/11/28, 75, 27, 18, , 
2024/11/29, 76, 14, 8, , 
2024/11/30, 53, 22, 12, , 
2024/10/1, 45, 15, 16, 3, 
2024/10/2, 49, 5, 13, 3, 
2024/10/3, 19, 7, 11, 3, 
2024/10/4, 22, 16, 8, 3, 
2024/10/5, 54, 10, 4, 3, 
2024/10/6, 34, 11, 8, 3, 
2024/10/7, 35, 11, 11, 3, 
2024/10/8, 31, 9, 8, 4, 
2024/10/9, 27, 8, 8, 4, 
2024/10/10, 21, 6, 10, 3, 
2024/10/11, 19, 8, 7, 3, 
2024/10/12, 25, 13, 8, 3, 
2024/10/13, 41, 15, 12, 3, 
2024/10/14, 40, 20, 12, 3, 
2024/10/15, 56, 18, 15, 3, 
2024/10/16, 48, 26, 11, 3, 
2024/10/17, 77, 37, 11, 3, 
2024/10/18, 93, 29, 14, 5, 
2024/10/19, 70, 21, 8, 4, 
2024/10/20, 57, 34, 11, 3, 
2024/10/21, 84, 40, 12, 3, 
2024/10/22, 95, 43, 16, 3, 
2024/10/23, 100, 35, 13, 3, 
2024/10/24, 89, 33, 9, 3, 
2024/10/25, 90, 26, 6, 3, 
2024/10/26, 73, 27, 9, 3, 
2024/10/27, 71, 32, 11, 3, 
2024/10/28, 77, 28, 11, 3, 
2024/10/29, 71, 35, 12, 3, 
2024/10/30, 91, 36, 13, 3, 
2024/10/31, 95, 26, 13, 3, 
2024/7/1, 42, 11, 9, 3, 
2024/7/2, 29, 13, 8, 3, 
2024/7/3, 38, 12, 8, 2, 
2024/7/4, 35, 12, 6, 3, 
2024/7/5, 31, 13, 5, 3, 
2024/7/6, 39, 17, 5, 3, 
2024/7/7, 53, 28, 10, 4, 
2024/7/8, 72, 35, 11, 3, 
2024/7/9, 75, 40, 9, 3, 
2024/7/10, 81, 41, 13, 3, 
2024/7/11, 87, 45, 8, 3, 
2024/7/12, 98, 32, 6, 3, 
2024/7/13, 74, 22, 5, 3, 
2024/7/14, 59, 25, 10, 3, 
2024/7/15, 60, 25, 10, 3, 
2024/7/16, 58, 21, 11, 3, 
2024/7/17, 47, 18, 10, 3, 
2024/7/18, 42, 26, 14, 3, 
2024/7/19, 64, 15, 9, 3, 
2024/7/20, 51, 20, 3, 3, 
2024/7/21, 60, 25, 10, 3, 
2024/7/22, 67, 19, 10, 3, 
2024/7/23, 55, 14, 7, 3, 
2024/7/24, 40, 13, 9, 3, 
2024/7/25, 38, 17, 6, 3, 
2024/7/26, 44, 19, 5, 3, 
2024/7/27, 47, 20, 5, 3, 
2024/7/28, 55, 11, 9, 3, 
2024/7/29, 34, 13, 8, 3, 
2024/7/30, 37, 22, 7, 3, 
2024/7/31, 47, 23, 7, 4, 
2024/8/1, 55, 14, 6, 3, 
2024/8/2, 42, 10, 4, 3, 
2024/8/3, 35, 14, 5, 3, 
2024/8/4, 49, 13, 4, 3, 
2024/8/5, 47, 11, 7, 2, 
2024/8/6, 34, 20, 6, 3, 
2024/8/7, 51, 11, 7, 3, 
2024/8/8, 39, 11, 6, 3, 
2024/8/9, 33, 13, 5, 3, 
2024/8/10, 42, 13, 4, 3, 
2024/8/11, 44, 18, 6, 3, 
2024/8/12, 50, 24, 8, 4, 
2024/8/13, 62, 27, 9, 3, 
2024/8/14, 73, 25, 5, 3, 
2024/8/15, 75, 29, 8, 3, 
2024/8/16, 76, 30, 7, 3, 
2024/8/17, 75, 24, 4, 3, 
2024/8/18, 63, 14, 9, 4, 
2024/8/19, 45, 18, 10, 3, 
2024/8/20, 52, 23, 10, 3, 
2024/8/21, 62, 13, 8, 3, 
2024/8/22, 38, 18, 8, 3, 
2024/8/23, 42, 18, 7, 3, 
2024/8/24, 50, 15, 7, 3, 
2024/8/25, 45, 17, 10, 3, 
2024/8/26, 40, 16, 10, 3, 
2024/8/27, 49, 29, 12, 3, 
2024/8/28, 69, 35, 13, 3, 
2024/8/29, 81, 34, 13, 3, 
2024/8/30, 77, 31, 9, 3, 
2024/8/31, 71, 30, 8, 3, 
2024/9/1, 74, 33, 11, 3, 
2024/9/2, 71, 37, 13, 3, 
2024/9/3, 74, , 15, 3, 
2024/9/8, 51, 13, 11, 4, 
2024/9/9, 39, 8, 10, 3, 
2024/9/10, 22, 7, 9, 3, 
2024/9/11, 21, 6, 11, 3, 
2024/9/12, 21, 2, 9, 3, 
2024/9/13, 9, 3, 5, 3, 
2024/9/14, 10, 2, 5, 3, 
2024/9/15, 7, 5, 14, 3, 
2024/9/16, 17, 7, 11, 3, 
2024/9/17, 29, 23, 13, 3, 
2024/9/18, 60, 27, 14, 3, 
2024/9/19, 64, 21, 13, 3, 
2024/9/20, 52, 22, 8, 3, 
2024/9/21, 55, 22, 7, 3, 
2024/9/22, 56, 21, 9, 3, 
2024/9/23, 60, 11, 10, 3, 
2024/9/24, 39, 12, 10, 3, 
2024/9/25, 41, 17, 8, 3, 
2024/9/26, 53, 20, 8, 3, 
2024/9/27, 56, 7, 8, 3, 
2024/9/28, 24, 6, 7, 3, 
2024/9/29, 17, 12, 11, 3, 
2024/9/30, 37, 15, 9, 3, 
2024/4/1, 118, 6, 10, 2, 
2024/4/2, 17, 10, 7, 2, 
2024/4/3, 24, 8, 4, 2, 
2024/4/4, 19, 14, 8, 2, 
2024/4/5, 36, 18, 8, 2, 
2024/4/6, 48, 14, 9, 2, 
2024/4/7, 41, 22, 11, 2, 
2024/4/8, 49, 22, 9, 2, 
2024/4/9, 44, 22, 11, 2, 
2024/4/10, 33, 20, 13, 2, 
2024/4/11, 42, 23, 13, 2, 
2024/4/12, 50, 26, 8, 2, 
2024/4/13, 62, 23, 7, 2, 
2024/4/14, 58, 30, 8, 2, 
2024/4/15, 55, 17, 12, 2, 
2024/4/16, 36, 5, 6, 2, 
2024/4/17, 19, 10, 12, 2, 
2024/4/18, 34, 11, 9, 2, 
2024/4/19, 36, 13, 11, 2, 
2024/4/20, 37, 7, 6, 2, 
2024/4/21, 22, 14, 10, 2, 
2024/4/22, 47, 17, 11, 2, 
2024/4/23, 59, 11, 11, 2, 
2024/4/24, 39, 17, 14, 2, 
2024/4/25, 54, 14, 8, 2, 
2024/4/26, 44, 11, 7, 2, 
