date, pm25, pm10, o3, no2, so2, co
2024/12/1, 73, 48, 7, 17, , 
2024/12/2, 115, 55, 7, 17, , 
2024/12/3, 132, 51, 10, 16, , 
2024/12/4, 132, 38, 11, 17, , 
2024/12/5, 85, 46, 2, 22, , 
2024/12/6, 119, , , , , 
2024/11/1, 67, 25, 5, 7, , 
2024/11/2, 80, 24, 20, 10, , 
2024/11/3, 76, 49, 5, 17, , 
2024/11/4, 120, 55, 11, 17, , 
2024/11/5, 134, 58, 7, 19, , 
2024/11/6, 149, 62, 2, 16, , 
2024/11/7, 158, 49, 10, 17, , 
2024/11/8, 135, 57, 16, 14, , 
2024/11/9, 152, 40, 21, 9, , 
2024/11/10, 116, 48, 19, 13, , 
2024/11/11, 129, 42, 14, 8, , 
2024/11/12, 112, 30, 19, 9, , 
2024/11/13, 82, 29, 17, 11, , 
2024/11/14, 72, 41, 10, 18, , 
2024/11/15, 105, 47, 14, 17, , 
2024/11/16, 128, 53, 9, 13, , 
2024/11/17, 148, 38, 8, 7, , 
2024/11/18, 112, 50, 2, 11, , 
2024/11/19, 138, 28, 16, 13, , 
2024/11/20, 80, 26, 11, 13, , 
2024/11/21, 75, 12, 14, 12, , 
2024/11/22, 49, 23, 14, 14, , 
2024/11/23, 76, 18, 22, 10, , 
2024/11/24, 64, 13, 25, 8, , 
2024/11/25, 45, 14, 23, 12, , 
2024/11/26, 44, 17, 16, 14, , 
2024/11/27, 64, 24, 19, 11, , 
2024/11/28, 77, 22, 17, 14, , 
2024/11/29, 68, 13, 16, 5, , 
2024/11/30, 49, 23, 15, 8, , 
2024/10/1, 59, 23, 11, 13, , 
2024/10/2, 70, 6, 17, 7, , 
2024/10/3, 24, 7, 17, 10, , 
2024/10/4, 24, 14, 10, 8, , 
2024/10/5, 51, 13, 14, 7, , 
2024/10/6, 48, 11, 22, 8, , 
2024/10/7, 37, 10, 20, 13, , 
2024/10/8, 28, 8, 22, 9, , 
2024/10/9, 24, 7, 28, 10, , 
2024/10/10, 22, 8, 17, 12, , 
2024/10/11, 24, 9, 25, 9, , 
2024/10/12, 27, 16, 20, 11, , 
2024/10/13, 51, 16, 19, 12, , 
2024/10/14, 44, 20, 28, 8, , 
2024/10/15, 57, 17, 19, 9, , 
2024/10/16, 49, 26, 11, 9, , 
2024/10/17, 79, 40, 9, 9, , 
2024/10/18, 101, 29, 19, 8, , 
2024/10/19, 73, 27, 24, 12, , 
2024/10/20, 71, 40, 12, 15, , 
2024/10/21, 105, 46, 7, 15, , 
2024/10/22, 122, 48, 21, 12, , 
2024/10/23, 121, 37, 16, 11, , 
2024/10/24, 95, 36, 8, 11, , 
2024/10/25, 94, 29, 6, 7, , 
2024/10/26, 82, 27, 13, 10, , 
2024/10/27, 76, 36, 6, 12, , 
2024/10/28, 89, 38, 10, 16, , 
2024/10/29, 98, 38, 5, 16, , 
2024/10/30, 104, 39, 3, 13, , 
2024/10/31, 108, 19, 7, 10, , 
2024/7/1, 35, 7, 28, 7, , 
2024/7/2, 23, 12, 31, 10, , 
2024/7/3, 35, 13, 29, 12, , 
2024/7/4, 41, 11, 28, 12, , 
2024/7/5, 34, 12, 33, 9, , 
2024/7/6, 37, 14, 38, 8, , 
2024/7/7, 45, 20, 39, 12, , 
2024/7/8, 58, 22, 41, 9, , 
2024/7/9, 56, 29, 51, 17, , 
2024/7/10, 61, 29, 49, 15, , 
2024/7/11, 69, 27, 40, 13, , 
2024/7/12, 64, 21, 40, 8, , 
2024/7/13, 53, 16, 40, 8, , 
2024/7/14, 46, 18, 56, 12, , 
2024/7/15, 47, 22, 52, 13, , 
2024/7/16, 54, 14, 39, 6, , 
2024/7/17, 32, 12, 43, 7, , 
2024/7/18, 28, 17, 45, 8, , 
2024/7/19, 47, 13, 34, 5, , 
2024/7/20, 49, 14, 42, 6, , 
2024/7/21, 49, 21, 36, 9, , 
2024/7/22, 59, 14, 37, 8, , 
2024/7/23, 42, 12, 34, 9, , 
2024/7/24, 35, 13, 35, 10, , 
2024/7/25, 38, 16, 34, 12, , 
2024/7/26, 42, 17, 43, 8, , 
2024/7/27, 44, 17, 44, 8, , 
2024/7/28, 50, 11, 38, 7, , 
2024/7/29, 32, 15, 41, 11, , 
2024/7/30, 41, 17, 38, 10, , 
2024/7/31, 41, 21, 40, 12, , 
2024/8/1, 54, 12, 46, 7, , 
2024/8/2, 30, 10, 39, 6, , 
2024/8/3, 34, 15, 41, 8, , 
2024/8/4, 48, 15, 35, 6, , 
2024/8/5, 47, 13, 37, 5, , 
2024/8/6, 36, 20, 41, 9, , 
2024/8/7, 49, 9, 44, 7, , 
2024/8/8, 29, 10, 41, 9, , 
2024/8/9, 29, 12, 41, 9, , 
2024/8/10, 36, 12, 44, 10, , 
2024/8/11, 38, 17, 41, 13, , 
2024/8/12, 44, 21, 52, 15, , 
2024/8/13, 52, 22, 41, 14, , 
2024/8/14, 59, 19, 52, 8, , 
2024/8/15, 60, 24, 50, 12, , 
2024/8/16, 61, 24, 43, 11, , 
2024/8/17, 61, 24, 40, 7, , 
2024/8/18, 61, 14, 37, 5, , 
2024/8/19, 40, 17, 31, 8, , 
2024/8/20, 53, 27, 34, 8, , 
2024/8/21, 72, 16, 39, 11, , 
2024/8/22, 46, 23, 43, 14, , 
2024/8/23, 58, 23, 40, 12, , 
2024/8/24, 61, 18, 44, 9, , 
2024/8/25, 54, 15, 40, 6, , 
2024/8/26, 39, 14, 41, 8, , 
2024/8/27, 41, 26, 47, 15, , 
2024/8/28, 61, 29, 48, 17, , 
2024/8/29, 68, 31, 45, 18, , 
2024/8/30, 67, 32, 50, 17, , 
2024/8/31, 68, 27, 54, 12, , 
2024/9/1, 64, 40, 45, 19, , 
2024/9/2, 74, 41, 48, 18, , 
2024/9/3, 88, , 52, 19, , 
2024/9/8, 50, 13, 22, 8, , 
2024/9/9, 41, 8, 26, 13, , 
2024/9/10, 22, 12, 29, 14, , 
2024/9/11, 32, 8, 21, 8, , 
2024/9/12, 29, 2, 18, 8, , 
2024/9/13, 8, 4, 13, 6, , 
2024/9/14, 15, 4, 22, 7, , 
2024/9/15, 15, 6, 14, 12, , 
2024/9/16, 20, 7, 13, 6, , 
2024/9/17, 31, 21, 24, 11, , 
2024/9/18, 62, 25, 35, 7, , 
2024/9/19, 65, 20, 29, 6, , 
2024/9/20, 54, 23, 36, 12, , 
2024/9/21, 59, 27, 38, 15, , 
2024/9/22, 68, 27, 24, 16, , 
2024/9/23, 71, 16, 23, 13, , 
2024/9/24, 47, 11, 25, 11, , 
2024/9/25, 38, 14, 31, 9, , 
2024/9/26, 44, 18, 30, 13, , 
2024/9/27, 46, 7, 25, 8, , 
2024/9/28, 25, 7, 29, 6, , 
2024/9/29, 22, 13, 22, 14, , 
2024/9/30, 43, 20, 19, 15, , 
2024/4/1, 111, 2, 27, 8, , 
2024/4/2, 14, 6, 31, 10, , 
2024/4/3, 31, 4, 33, 8, , 
2024/4/4, 21, 6, 35, 9, , 
2024/4/5, 32, 8, 37, 8, , 
2024/4/6, 41, 10, 36, 11, , 
2024/4/7, 49, 15, 30, 18, , 
2024/4/8, 64, 8, 32, 12, , 
2024/4/9, 43, 5, , , , 
2024/4/10, 29, 7, , , , 
2024/4/11, 39, 10, , , , 
2024/4/12, 50, 13, , , , 
2024/4/13, 57, 9, , , , 
2024/4/14, 42, 6, , , , 
2024/4/15, 34, 6, , , , 
2024/4/16, 30, 3, , , , 
2024/4/17, 16, 6, 18, 16, , 
2024/4/18, 32, 9, 31, 15, , 
2024/4/19, 45, 13, 31, 13, , 
2024/4/20, 51, 5, 33, 5, , 
2024/4/21, 25, 11, 29, 8, , 
2024/4/22, 54, 13, 23, 6, , 
2024/4/23, 60, 9, 13, 14, , 
2024/4/24, 45, 19, 23, 13, , 
2024/4/25, 75, 12, 29, 11, , 
2024/4/26, 51, 8, 35, 12, , 
2024/4/27, 39, 12, 32, 15, , 
2024/4/28, 54, 13, 40, 17, , 
2024/4/29, 56, 9, 41, 11, , 
2024/4/30, 46, 12, 29, 6, , 
2024/5/1, 56, 8, 31, 7, , 
2024/5/2, 38, 3, 24, 9, , 
2024/5/3, 19, 9, 29, 11, , 
2024/5/4, 44, 11, 34, 10, , 
2024/5/5, 50, 4, 35, 8, , 
2024/5/6, 21, 6, 31, 11, , 
2024/5/7, 34, 11, 30, 8, , 
2024/5/8, 52, 10, 37, 8, , 
2024/5/9, 49, 8, 41, 12, , 
2024/5/10, 41, 10, 47, 12, , 
2024/5/11, 48, 11, 39, 12, , 
2024/5/12, 53, 12, 34, 11, , 
2024/5/13, 55, 10, 31, 11, , 
2024/5/14, 46, 17, 32, 13, , 
2024/5/15, 70, 13, 26, 7, , 
2024/5/16, 59, 11, 31, 9, , 
2024/5/17, 49, 6, 34, 10, , 
2024/5/18, 30, 10, 35, 9, , 
2024/5/19, 49, 25, 28, 12, , 
2024/5/20, 93, 22, 15, 13, , 
2024/5/21, 81, 6, 26, 11, , 
2024/5/22, 33, 9, 31, 10, , 
2024/5/23, 40, 7, 32, 12, , 
2024/5/24, 36, 11, 41, 9, , 
2024/5/25, 52, 11, 36, 7, , 
2024/5/26, 53, 13, 41, 13, , 
2024/5/27, 58, 14, 24, 15, , 
2024/5/28, 62, 5, 32, 12, , 
2024/5/29, 27, 6, 33, 8, , 
2024/5/30, 34, 8, 24, 6, , 
2024/5/31, 39, 5, 30, 7, , 
2024/6/1, 27, 5, 34, 7, , 
2024/6/2, 31, 6, 22, 9, , 
2024/6/3, 32, 6, 25, 11, , 
2024/6/4, 28, 10, 32, 12, , 
2024/6/5, 45, 18, 39, 12, , 
2024/6/6, 59, 23, 40, 13, , 
2024/6/7, 60, 27, 36, 9, , 
2024/6/8, 77, 31, 35, 8, , 
2024/6/9, 79, 22, 27, 9, , 
2024/6/10, 60, 11, 31, 10, , 
2024/6/11, 37, 7, 25, 7, , 
2024/6/12, 19, 14, 17, 13, , 
2024/6/13, 44, 15, 26, 12, , 
2024/6/14, 49, 14, 35, 8, , 
2024/6/15, 44, 10, 37, 7, , 
2024/6/16, 31, 14, 40, 12, , 
2024/6/17, 41, 20, 35, 13, , 
